Character Bounding Boxes
Format: x, y, width, height, line_index
==================================================
Char_0001:  309,  262,   16,   14, Line_8
Char_0002:  288,  262,   19,   13, Line_8
Char_0003:  273,  262,   13,   15, Line_8
Char_0004:  260,  262,   11,   16, Line_8
Char_0005:  378,  261,    9,   15, Line_8
Char_0006:  367,  261,    9,   15, Line_8
Char_0007:  355,  261,   11,   14, Line_8
Char_0008:  227,  261,   17,   16, Line_8
Char_0009:  172,  261,   12,   17, Line_8
Char_0010:  160,  261,   10,   16, Line_8
Char_0011:  141,  261,   18,   15, Line_8
Char_0012:  113,  261,   26,   15, Line_8
Char_0013:   99,  261,   13,   16, Line_8
Char_0014:  348,  260,    5,   14, Line_8
Char_0015:  342,  260,    5,   14, Line_8
Char_0016:  327,  260,   11,   21, Line_8
Char_0017:  246,  260,   13,   18, Line_8
Char_0018:  213,  260,   13,   16, Line_8
Char_0019:  186,  260,   12,   18, Line_8
Char_0020:  200,  259,   11,   18, Line_8
Char_0021:  388,  258,   31,   22, Line_8
Char_0022:  136,  237,   10,   11, Line_7
Char_0023:  404,  235,   16,   10, Line_7
Char_0024:  251,  235,   18,   14, Line_7
Char_0025:  239,  235,   10,   14, Line_7
Char_0026:  122,  235,   13,   14, Line_7
Char_0027:  271,  234,   12,   21, Line_7
Char_0028:  227,  234,   11,   16, Line_7
Char_0029:  213,  234,   13,   15, Line_7
Char_0030:  196,  234,   15,   14, Line_7
Char_0031:  100,  234,   20,   14, Line_7
Char_0032:  392,  233,   11,   13, Line_7
Char_0033:  376,  233,   15,   14, Line_7
Char_0034:  362,  233,   12,   14, Line_7
Char_0035:  344,  233,   16,   15, Line_7
Char_0036:  332,  233,   10,   17, Line_7
Char_0037:  314,  233,   16,   18, Line_7
Char_0038:  284,  233,   28,   19, Line_7
Char_0039:  153,  233,   10,   15, Line_7
Char_0040:  179,  232,   15,   17, Line_7
Char_0041:  166,  232,   11,   19, Line_7
Char_0042:  406,  209,   15,   15, Line_6
Char_0043:  356,  209,   49,   18, Line_6
Char_0044:  255,  209,   12,   14, Line_6
Char_0045:  241,  209,   12,   14, Line_6
Char_0046:  175,  209,   13,   15, Line_6
Char_0047:  161,  209,   11,   13, Line_6
Char_0048:  336,  208,   17,   17, Line_6
Char_0049:  300,  208,   33,   16, Line_6
Char_0050:  282,  208,   16,   16, Line_6
Char_0051:  269,  208,   11,   16, Line_6
Char_0052:  227,  208,   11,   14, Line_6
Char_0053:  216,  208,   10,   15, Line_6
Char_0054:  116,  208,   16,   18, Line_6
Char_0055:  189,  207,   26,   16, Line_6
Char_0056:  149,  207,    9,   18, Line_6
Char_0057:  134,  207,   13,   21, Line_6
Char_0058:   98,  205,   16,   19, Line_6
Char_0059:  265,  186,    8,   15, Line_5
Char_0060:  239,  185,   25,   16, Line_5
Char_0061:  274,  184,   17,   16, Line_5
Char_0062:  223,  184,   15,   17, Line_5
Char_0063:  207,  184,   14,   18, Line_5
Char_0064:  130,  184,   10,   17, Line_5
Char_0065:  113,  184,   15,   17, Line_5
Char_0066:  195,  183,   11,   18, Line_5
Char_0067:  180,  183,   14,   18, Line_5
Char_0068:  169,  183,    9,   18, Line_5
Char_0069:  142,  183,   10,   17, Line_5
Char_0070:   97,  183,   14,   17, Line_5
Char_0071:  317,  182,   23,   21, Line_5
Char_0072:  153,  182,   14,   17, Line_5
Char_0073:  386,  181,   41,   17, Line_5
Char_0074:  304,  181,   11,   22, Line_5
Char_0075:  341,  180,   29,   18, Line_5
Char_0076:  293,  180,   10,   21, Line_5
Char_0077:  371,  179,   14,   19, Line_5
Char_0078:  309,  160,   13,   12, Line_4
Char_0079:   95,  160,   35,   17, Line_4
Char_0080:  243,  159,   64,   22, Line_4
Char_0081:  132,  159,   15,   16, Line_4
Char_0082:  325,  158,   25,   13, Line_4
Char_0083:  183,  158,   14,   17, Line_4
Char_0084:  353,  157,   13,   14, Line_4
Char_0085:  211,  157,   30,   20, Line_4
Char_0086:  198,  157,   12,   18, Line_4
Char_0087:  170,  157,   11,   18, Line_4
Char_0088:  148,  157,   21,   17, Line_4
Char_0089:  396,  156,   25,   15, Line_4
Char_0090:  369,  156,   25,   15, Line_4
Char_0091:  175,  136,   16,   14, Line_3
Char_0092:  142,  136,   31,   16, Line_3
Char_0093:  264,  135,   21,   16, Line_3
Char_0094:  194,  135,   16,   18, Line_3
Char_0095:  123,  135,   17,   16, Line_3
Char_0096:  301,  134,   23,   18, Line_3
Char_0097:  287,  134,   12,   19, Line_3
Char_0098:  247,  134,   14,   16, Line_3
Char_0099:   96,  134,   25,   18, Line_3
Char_0100:  326,  133,   19,   17, Line_3
Char_0101:  367,  132,   10,   14, Line_3
Char_0102:  212,  132,   33,   20, Line_3
Char_0103:  348,  131,   15,   16, Line_3
Char_0104:  380,  127,   40,   20, Line_3
Char_0105:  419,  110,    2,    6, Line_2
Char_0106:  127,  110,   17,   13, Line_2
Char_0107:  114,  110,   11,   12, Line_2
Char_0108:  181,  109,   11,   15, Line_2
Char_0109:  145,  109,   35,   20, Line_2
Char_0110:  340,  108,   36,   15, Line_2
Char_0111:  323,  108,   16,   15, Line_2
Char_0112:  270,  108,   15,   17, Line_2
Char_0113:  257,  108,   12,   16, Line_2
Char_0114:  193,  108,   12,   16, Line_2
Char_0115:   94,  108,   18,   14, Line_2
Char_0116:  287,  107,   21,   16, Line_2
Char_0117:  236,  107,   18,   17, Line_2
Char_0118:  378,  106,   30,   19, Line_2
Char_0119:  207,  106,   27,   18, Line_2
Char_0120:  310,  105,   11,   18, Line_2
Char_0121:  158,   86,   15,   13, Line_1
Char_0122:  130,   86,   15,   12, Line_1
Char_0123:  174,   85,   33,   13, Line_1
Char_0124:  146,   85,   11,   14, Line_1
Char_0125:   92,   85,   36,   13, Line_1
Char_0126:  410,   84,   16,   13, Line_1
Char_0127:  284,   84,   14,   15, Line_1
Char_0128:  223,   84,   14,   14, Line_1
Char_0129:  211,   84,   11,   14, Line_1
Char_0130:  239,   83,   43,   18, Line_1
Char_0131:  396,   82,   13,   16, Line_1
Char_0132:  313,   81,   82,   19, Line_1
Char_0133:  299,   80,   13,   19, Line_1
Char_0134:  466,   70,    8,    8, Line_1
